set_code,set_name_ger,short,set_name_eng
5215,Secret Lair Drop Series: December Superdrop 2022,SLDDCM,Secret Lair Drop Series: December Superdrop 2022
5245,MagicCon Products,MCON,MagicCon Products
5191,Phyrexia: Alles wird eins: ExtrasPhyrexia: All Will Be One: Extras,XONE,Phyrexia: All Will Be One: Extras
5184,Phyrexia: Alles wird einsPhyrexia: All Will Be One,ONE,Phyrexia: All Will Be One
5183,Secret Lair Drop Series: October Superdrop 2022,SLDO2,Secret Lair Drop Series: October Superdrop 2022
5193,Dominaria Remastered: Extras,XDMR,Dominaria Remastered: Extras
5192,Dominaria Remastered,DMR,Dominaria Remastered
5181,Secret Lair Drop Series: LI’L’ER Walkers,SLDLILR,Secret Lair Drop Series: LI’L’ER Walkers
5173,Commander-Starter-DeckStarter Commander Decks,SCD,Starter Commander Decks
5196,Secret Lair Drop Series: Extra Life 2022,SLDXL2,Secret Lair Drop Series: Extra Life 2022
5185,Jumpstart 2022,J22,Jumpstart 2022
5205,Secret Lair Drop Series: 30th Anniversary Countdown Kit,SLD30CK,Secret Lair Drop Series: 30th Anniversary Countdown Kit
5168,Commander: Krieg der BrüderCommander: The Brothers' War,BRC,Commander: The Brothers' War
5164,Krieg der BrüderThe Brothers' War,BRO,The Brothers' War
5165,Krieg der Brüder: ExtrasThe Brothers' War: Extras,XBRO,The Brothers' War: Extras
5170,Retro Frame Artifacts,BRR,Retro Frame Artifacts
5169,Commander: Krieg der Brüder: ExtrasCommander: The Brothers' War: Extras,XBRC,Commander: The Brothers' War: Extras
5172,Universes Beyond: Transformers,BOT,Universes Beyond: Transformers
5178,Krieg der Brüder: PromosThe Brothers' War: Promos,PBRO,The Brothers' War: Promos
5146,Secret Lair Drop Series: August Superdrop 2022,SLDAUS,Secret Lair Drop Series: August Superdrop 2022
5199,30th Anniversary Edition,30A,30th Anniversary Edition
5137,Secret Lair Drop Series: Magic 30,SLD30,Secret Lair Drop Series: Magic 30
5108,Game Night: Jeder-gegen-JedenGame Night: Free For All,GN3,Game Night: Free For All
5074,"Jenseits des Multiversums: Warhammer 40.000Universes Beyond: Warhammer 40,000",40K,"Universes Beyond: Warhammer 40,000"
4469,Unfinity: Extras,XUNF,Unfinity: Extras
4468,Unfinity,UNF,Unfinity
5171,Japanese 30th Anniversary Promos,30J,Japanese 30th Anniversary Promos
5090,Secret Lair Drop Series: Secret Lair x Beadle & Grimm's: Here Be Dragons,SLDBG,Secret Lair Drop Series: Secret Lair x Beadle & Grimm's: Here Be Dragons
5092,Secret Lair Drop Series: June Superdrop 2022,SLDJS,Secret Lair Drop Series: June Superdrop 2022
5073,Dominarias Bund: ExtrasDominaria United: Extras,XDMU,Dominaria United: Extras
5072,Dominarias BundDominaria United,DMU,Dominaria United
5123,Commander: Dominarias Bund: ExtrasCommander: Dominaria United: Extras,XDMC,Commander: Dominaria United: Extras
5118,Dominarias Bund: PromosDominaria United: Promos,PDMU,Dominaria United: Promos
5122,Commander: Dominarias BundCommander: Dominaria United,DMC,Commander: Dominaria United
5126,30th Anniversary Celebration,30C,30th Anniversary Celebration
5110,Secret Lair Drop Series: Fortnite,SLDFN,Secret Lair Drop Series: Fortnite
5057,Secret Lair Drop Series: Pride Across the Multiverse,SLDPA,Secret Lair Drop Series: Pride Across the Multiverse
5049,Secret Lair Drop Series: April Superdrop 2022,SLDAS,Secret Lair Drop Series: April Superdrop 2022
4981,Secret Lair Drop Series: February Superdrop 2022,SLDFS,Secret Lair Drop Series: February Superdrop 2022
5071,Double Masters 2022: Extras,X2X2,Double Masters 2022: Extras
5070,Double Masters 2022,2X2,Double Masters 2022
5084,Commander Legends: Schlacht um Baldur’s Gate: PromosCommander Legends: Battle for Baldur's Gate: Promos,PCLB,Commander Legends: Battle for Baldur's Gate: Promos
